,MSZoning,LotFrontage,LotArea,Street,Utilities,Neighborhood,BldgType,OverallQual,YearBuilt,RoofStyle,RoofMatl,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtFinType1,BsmtFinType2,TotalBsmtSF,HeatingQC,CentralAir,Electrical,1stFlrSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Fireplaces,GarageCars,PavedDrive,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,MiscVal,SaleType,SaleCondition,SalePrice
287,RL,-1.0,8125,Pave,AllPub,NAmes,1Fam,4,1971,Gable,CompShg,None,0.0,TA,TA,CBlock,TA,TA,BLQ,Unf,858,TA,Y,SBrkr,858,858,0,0,1,0,3,1,TA,5,0,0,Y,0,0,0,0,0,0,WD,Normal,88000
288,RL,-1.0,9819,Pave,AllPub,Sawyer,1Fam,5,1967,Gable,CompShg,BrkFace,31.0,TA,Gd,CBlock,TA,TA,BLQ,Unf,882,TA,Y,SBrkr,900,900,0,0,1,0,3,1,TA,5,0,1,Y,0,0,0,0,0,0,WD,Normal,122000
289,RL,60.0,8730,Pave,AllPub,BrkSide,1Fam,6,1915,Gable,CompShg,None,0.0,TA,TA,BrkTil,TA,TA,Unf,Unf,698,Ex,Y,FuseA,698,1396,0,0,1,0,3,1,TA,7,0,1,Y,0,0,0,259,0,0,WD,Normal,153575
290,RL,120.0,15611,Pave,AllPub,CollgCr,1Fam,8,2006,Gable,CompShg,None,0.0,Gd,TA,PConc,Gd,TA,Unf,Unf,1079,Ex,Y,SBrkr,1079,1919,0,0,2,1,3,1,Gd,8,1,2,Y,51,0,0,0,0,0,New,Partial,233230
291,RL,55.0,5687,Pave,AllPub,SWISU,2fmCon,5,1912,Gable,CompShg,None,0.0,TA,Fa,PConc,TA,Fa,Rec,Unf,780,Ex,N,SBrkr,936,1716,1,0,2,0,6,1,Fa,9,0,0,N,184,0,0,0,0,0,WD,Normal,135900
292,RL,60.0,11409,Pave,AllPub,Edwards,1Fam,5,1949,Gable,CompShg,None,0.0,TA,TA,CBlock,TA,TA,LwQ,Unf,768,Gd,Y,SBrkr,1148,1716,0,0,1,1,3,1,TA,8,1,1,Y,0,0,0,160,0,0,WD,Normal,131000
293,RL,-1.0,16659,Pave,AllPub,NWAmes,1Fam,7,1977,Gable,CompShg,BrkFace,34.0,TA,TA,CBlock,TA,TA,ALQ,Unf,795,Fa,Y,SBrkr,1468,2263,1,0,2,1,3,1,Gd,9,1,2,Y,250,0,0,0,0,0,WD,Normal,235000
294,RL,80.0,9600,Pave,AllPub,NAmes,1Fam,6,1953,Hip,CompShg,Stone,238.0,TA,TA,CBlock,TA,TA,GLQ,Unf,1416,TA,Y,SBrkr,1644,1644,1,0,1,0,3,1,TA,7,2,2,Y,0,0,0,0,0,0,WD,Normal,167000
295,RL,37.0,7937,Pave,AllPub,Mitchel,1Fam,6,1984,Gable,CompShg,None,0.0,TA,TA,CBlock,TA,TA,GLQ,Unf,1003,TA,Y,SBrkr,1003,1003,1,0,1,0,3,1,TA,6,0,2,Y,0,0,0,0,0,0,WD,Normal,142500
296,RM,75.0,13710,Pave,AllPub,IDOTRR,1Fam,5,1950,Gable,CompShg,None,0.0,TA,TA,CBlock,TA,TA,BLQ,Unf,910,TA,Y,FuseA,910,1558,0,0,1,1,4,1,TA,6,0,1,Y,0,0,0,0,0,0,WD,Normal,152000
297,FV,66.0,7399,Pave,AllPub,Somerst,1Fam,7,1997,Hip,CompShg,BrkFace,1600.0,Gd,TA,PConc,Gd,TA,BLQ,Unf,975,Ex,Y,SBrkr,975,1950,0,0,2,1,3,1,Gd,7,1,2,Y,10,0,0,198,0,0,WD,Normal,239000
298,RL,90.0,11700,Pave,AllPub,NWAmes,1Fam,6,1968,Mansard,CompShg,BrkFace,365.0,Gd,TA,CBlock,TA,TA,ALQ,Rec,702,Gd,Y,SBrkr,1041,1743,0,1,1,2,3,1,TA,7,1,2,Y,0,0,0,0,0,0,WD,Normal,175000
299,RL,80.0,14000,Pave,AllPub,Crawfor,1Fam,6,1950,Gable,CompShg,None,0.0,TA,Gd,CBlock,TA,TA,Unf,Unf,1092,Ex,Y,SBrkr,1152,1152,0,1,1,0,3,1,Gd,6,1,1,Y,36,0,0,0,0,0,WD,Family,158500
300,RL,90.0,15750,Pave,AllPub,Crawfor,2fmCon,5,1953,Hip,CompShg,BrkFace,56.0,TA,TA,CBlock,TA,TA,BLQ,Unf,1165,TA,Y,SBrkr,1336,1336,1,0,1,0,2,1,TA,5,2,1,Y,0,0,0,0,0,0,WD,Normal,157000
301,RL,66.0,16226,Pave,AllPub,CollgCr,1Fam,8,1998,Gable,CompShg,None,0.0,Gd,TA,PConc,Gd,TA,GLQ,Unf,1028,Ex,Y,SBrkr,1210,2452,0,0,2,1,4,1,Gd,9,1,2,Y,50,0,0,0,0,0,WD,Normal,267000
302,RL,118.0,13704,Pave,AllPub,CollgCr,1Fam,7,2001,Gable,CompShg,BrkFace,150.0,Gd,TA,PConc,Gd,TA,Unf,Unf,1541,Ex,Y,SBrkr,1541,1541,0,0,2,0,3,1,Gd,6,1,3,Y,81,0,0,0,0,0,WD,Normal,205000
303,RL,70.0,9800,Pave,AllPub,CollgCr,1Fam,5,1972,Gable,CompShg,None,0.0,TA,TA,PConc,TA,TA,ALQ,Unf,894,TA,Y,SBrkr,894,894,1,0,1,0,3,1,TA,5,0,2,Y,0,0,0,0,0,0,WD,Abnorml,149900
304,RM,87.0,18386,Pave,AllPub,OldTown,1Fam,7,1880,Gable,CompShg,None,0.0,TA,TA,BrkTil,TA,TA,Unf,Unf,1470,Ex,Y,SBrkr,1675,3493,0,0,3,0,3,1,Gd,10,1,3,Y,0,0,0,0,0,0,WD,Normal,295000
305,RL,80.0,10386,Pave,AllPub,CollgCr,1Fam,8,2004,Gable,CompShg,Stone,246.0,Gd,TA,PConc,Gd,TA,GLQ,Unf,2000,Ex,Y,SBrkr,2000,2000,1,0,2,0,3,1,Gd,8,0,3,Y,0,0,0,0,0,0,WD,Normal,305900
306,RL,116.0,13474,Pave,AllPub,SawyerW,1Fam,7,1990,Gable,CompShg,BrkFace,246.0,Gd,TA,CBlock,Gd,TA,ALQ,Unf,700,Gd,Y,SBrkr,1122,2243,1,0,2,1,4,1,Gd,8,1,3,Y,44,224,0,0,0,0,WD,Normal,225000
307,RM,-1.0,7920,Pave,AllPub,IDOTRR,1Fam,6,1920,Gable,CompShg,None,0.0,TA,Fa,CBlock,TA,TA,Unf,Unf,319,TA,Y,FuseA,1035,1406,0,0,1,0,3,1,Fa,6,0,0,N,144,0,0,0,0,0,WD,Normal,89500
308,RL,-1.0,12342,Pave,AllPub,Edwards,1Fam,4,1940,Gable,CompShg,None,0.0,TA,TA,CBlock,TA,TA,BLQ,Unf,861,Ex,Y,SBrkr,861,861,0,0,1,0,1,1,TA,4,0,2,Y,0,0,0,0,0,0,WD,Normal,82500
309,RL,90.0,12378,Pave,AllPub,NridgHt,1Fam,9,2003,Gable,CompShg,None,0.0,Gd,TA,PConc,Ex,TA,GLQ,Unf,1896,Ex,Y,SBrkr,1944,1944,1,0,2,0,3,1,Ex,8,3,3,Y,175,0,0,0,0,0,WD,Normal,360000
310,RL,-1.0,7685,Pave,AllPub,Gilbert,1Fam,6,1993,Gable,CompShg,BrkFace,112.0,TA,TA,PConc,Gd,TA,ALQ,Unf,697,Gd,Y,SBrkr,697,1501,0,0,2,1,3,1,Gd,6,1,2,Y,63,0,0,0,0,0,WD,Normal,165600
311,RL,50.0,8000,Pave,AllPub,NAmes,1Fam,6,1948,Gable,CompShg,None,0.0,TA,Gd,CBlock,TA,TA,ALQ,Unf,972,Ex,Y,SBrkr,972,972,1,0,1,0,2,1,TA,5,1,1,Y,0,0,0,0,0,0,WD,Normal,132000
312,RM,65.0,7800,Pave,AllPub,OldTown,2fmCon,5,1939,Gable,CompShg,None,0.0,TA,TA,CBlock,Gd,TA,Rec,Unf,793,TA,Y,SBrkr,793,1118,1,0,1,0,3,1,TA,5,1,2,Y,0,0,0,271,0,0,WD,Normal,119900
313,RL,150.0,215245,Pave,AllPub,Timber,1Fam,7,1965,Hip,CompShg,None,0.0,TA,TA,CBlock,Gd,TA,ALQ,Rec,2136,TA,Y,SBrkr,2036,2036,2,0,2,0,3,1,TA,8,2,2,Y,0,0,0,0,0,0,WD,Normal,375000
314,RM,60.0,9600,Pave,AllPub,OldTown,1Fam,7,1925,Gable,CompShg,None,0.0,TA,TA,BrkTil,TA,Gd,LwQ,Unf,728,Ex,Y,SBrkr,832,1641,0,1,1,1,3,1,Ex,6,1,2,Y,0,234,0,0,0,0,WD,Normal,178000
315,RL,71.0,7795,Pave,AllPub,Gilbert,1Fam,7,2004,Gable,CompShg,None,0.0,Gd,TA,PConc,Gd,TA,GLQ,Unf,716,Ex,Y,SBrkr,716,1432,1,0,2,1,3,1,Gd,6,1,2,Y,51,0,0,0,0,0,WD,Normal,188500
316,RL,94.0,13005,Pave,AllPub,NWAmes,1Fam,7,1980,Gable,CompShg,BrkFace,278.0,Gd,TA,CBlock,Gd,TA,GLQ,Unf,845,TA,Y,SBrkr,1153,2353,1,0,2,1,4,1,Ex,10,1,2,Y,195,0,0,0,0,0,WD,Normal,260000
317,FV,75.0,9000,Pave,AllPub,Somerst,1Fam,8,2006,Gable,CompShg,None,0.0,Gd,TA,PConc,Gd,TA,Unf,Unf,1088,Ex,Y,SBrkr,1088,1959,0,0,2,1,3,1,Gd,8,1,3,Y,46,0,0,0,0,0,WD,Normal,270000
318,RL,90.0,9900,Pave,AllPub,NoRidge,1Fam,7,1993,Gable,CompShg,BrkFace,256.0,Gd,TA,PConc,Gd,TA,GLQ,Unf,1347,Ex,Y,SBrkr,1372,2646,1,0,2,1,4,1,Gd,9,1,3,Y,60,144,0,0,0,0,WD,Normal,260000
319,RL,-1.0,14115,Pave,AllPub,NWAmes,1Fam,7,1980,Gable,CompShg,BrkFace,225.0,TA,TA,CBlock,Gd,TA,GLQ,Unf,1372,TA,Y,SBrkr,1472,1472,1,0,2,0,3,1,TA,6,2,2,Y,48,0,0,0,0,0,WD,Normal,187500
320,RL,111.0,16259,Pave,AllPub,NridgHt,1Fam,9,2006,Gable,CompShg,Stone,370.0,TA,TA,PConc,Ex,Gd,Unf,Unf,1249,Ex,Y,SBrkr,1249,2596,0,0,3,1,4,1,Gd,9,0,3,Y,154,0,0,0,0,0,New,Partial,342643
321,RL,99.0,12099,Pave,AllPub,NridgHt,1Fam,8,2004,Gable,CompShg,BrkFace,388.0,Gd,TA,PConc,Ex,TA,GLQ,Unf,1136,Ex,Y,SBrkr,1136,2468,1,0,2,1,4,1,Gd,10,1,3,Y,154,0,0,0,0,0,WD,Normal,354000
322,RL,86.0,10380,Pave,AllPub,SawyerW,1Fam,7,1986,Gable,CompShg,BrkFace,172.0,Gd,TA,CBlock,TA,TA,LwQ,ALQ,1502,Ex,Y,SBrkr,1553,2730,1,0,2,1,4,1,Gd,8,1,2,Y,96,0,0,0,0,0,WD,Normal,301000
323,RM,49.0,5820,Pave,AllPub,OldTown,1Fam,3,1955,Gable,CompShg,None,0.0,TA,Gd,CBlock,TA,TA,ALQ,Unf,1162,Ex,Y,SBrkr,1163,1163,1,0,1,0,3,1,TA,6,0,1,Y,98,0,0,0,0,0,WD,Normal,126175
324,RL,96.0,11275,Pave,AllPub,NAmes,1Fam,7,1967,Mansard,WdShake,BrkFace,300.0,Gd,Gd,CBlock,Gd,TA,Unf,Unf,710,Ex,Y,SBrkr,1898,2978,0,0,2,1,5,1,Gd,11,1,2,Y,0,0,0,0,0,0,WD,Normal,242000
325,RM,50.0,5000,Pave,AllPub,IDOTRR,1Fam,5,1941,Gable,CompShg,None,0.0,TA,TA,CBlock,TA,TA,BLQ,Unf,720,Po,N,FuseF,803,803,0,0,1,0,2,1,TA,5,0,2,Y,0,244,0,0,0,0,WD,Normal,87000
326,RL,32.0,10846,Pave,AllPub,Veenker,TwnhsE,8,1993,Gable,CompShg,None,0.0,Gd,TA,PConc,Gd,TA,GLQ,Unf,1719,Ex,Y,SBrkr,1719,1719,2,0,1,1,1,1,Gd,6,2,2,Y,30,0,0,0,0,0,Con,Normal,324000
327,RL,80.0,11600,Pave,AllPub,NAmes,1Fam,6,1960,Hip,CompShg,BrkFace,175.0,TA,TA,CBlock,TA,TA,Rec,Unf,1383,TA,Y,SBrkr,1383,1383,0,0,1,1,3,1,TA,7,0,1,Y,45,0,0,0,0,0,WD,Normal,145250
328,RL,-1.0,11888,Pave,AllPub,BrkSide,1Fam,6,1916,Gable,CompShg,None,0.0,TA,TA,BrkTil,TA,TA,Unf,Unf,844,Gd,N,FuseA,1445,2134,0,0,2,0,5,1,Gd,10,0,2,Y,60,268,0,0,0,0,WD,Normal,214500
329,RM,60.0,6402,Pave,AllPub,IDOTRR,1Fam,5,1920,Gable,CompShg,None,0.0,TA,TA,PConc,TA,TA,Unf,Unf,596,TA,N,SBrkr,596,1192,0,0,1,0,3,1,TA,6,0,1,N,0,137,0,0,0,0,WD,Normal,78000
330,RL,-1.0,10624,Pave,AllPub,NAmes,Duplex,5,1964,Gable,CompShg,BrkFace,84.0,TA,TA,CBlock,TA,TA,GLQ,Rec,1728,TA,Y,SBrkr,1728,1728,0,1,2,0,6,2,TA,10,0,1,Y,0,0,0,0,0,0,WD,Normal,119000
331,RL,70.0,8176,Pave,AllPub,NAmes,1Fam,5,1958,Gable,CompShg,None,0.0,TA,TA,CBlock,TA,TA,Rec,Unf,1056,Fa,Y,SBrkr,1056,1056,1,0,1,0,3,1,TA,6,0,1,Y,0,0,0,0,0,0,WD,Normal,139000
332,RL,85.0,10655,Pave,AllPub,NridgHt,1Fam,8,2003,Gable,CompShg,BrkFace,296.0,Gd,TA,PConc,Gd,TA,GLQ,-1,3206,Ex,Y,SBrkr,1629,1629,1,0,2,0,3,1,Gd,7,1,3,Y,0,0,0,0,0,0,WD,Normal,284000
333,RM,59.0,8198,Pave,AllPub,NridgHt,TwnhsE,7,2004,Gable,CompShg,Stone,146.0,Gd,TA,PConc,Gd,TA,GLQ,Unf,1358,Ex,Y,SBrkr,1358,1358,1,0,2,0,2,1,Gd,6,1,2,Y,30,0,0,0,0,0,WD,Normal,207000
334,RL,59.0,9042,Pave,AllPub,Gilbert,1Fam,6,1998,Gable,CompShg,None,0.0,TA,TA,PConc,Gd,TA,GLQ,Unf,943,Gd,Y,SBrkr,943,1638,1,0,2,1,3,1,TA,7,2,2,Y,38,0,0,0,0,0,WD,Normal,192000
335,RL,-1.0,164660,Grvl,AllPub,Timber,2fmCon,5,1965,Gable,CompShg,None,0.0,TA,TA,CBlock,TA,TA,ALQ,BLQ,1499,Ex,Y,SBrkr,1619,1786,2,0,2,0,3,1,TA,7,2,2,Y,0,0,0,0,0,700,WD,Normal,228950
336,RL,86.0,14157,Pave,AllPub,StoneBr,1Fam,9,2005,Hip,CompShg,Stone,200.0,Gd,TA,PConc,Ex,TA,GLQ,Unf,1922,Ex,Y,SBrkr,1922,1922,1,0,2,0,3,1,Gd,8,1,3,Y,51,0,0,0,0,0,WD,Normal,377426
337,RL,70.0,9135,Pave,AllPub,CollgCr,1Fam,7,2002,Gable,CompShg,BrkFace,113.0,Gd,TA,PConc,Gd,TA,GLQ,Unf,1536,Ex,Y,SBrkr,1536,1536,1,0,2,0,3,1,Gd,7,0,2,Y,74,0,0,0,0,0,WD,Normal,214000
338,RL,91.0,14145,Pave,AllPub,NWAmes,1Fam,7,1984,Gable,CompShg,None,0.0,Gd,TA,CBlock,Gd,TA,ALQ,Unf,1208,Ex,Y,SBrkr,1621,1621,1,0,2,0,3,1,Gd,8,0,2,Y,45,0,0,0,0,400,WD,Normal,202500
339,RL,66.0,12400,Pave,AllPub,NAmes,1Fam,6,1958,Hip,CompShg,BrkFace,176.0,TA,TA,CBlock,TA,Fa,Rec,Unf,1215,TA,Y,FuseA,1215,1215,0,0,1,0,3,1,TA,6,0,1,Y,0,0,0,234,0,0,WD,Normal,155000
340,RL,85.0,14191,Pave,AllPub,Timber,1Fam,8,2002,Gable,CompShg,None,0.0,Gd,TA,PConc,Gd,TA,Unf,Unf,967,Ex,Y,SBrkr,993,1908,0,0,2,1,4,1,Gd,9,0,2,Y,0,0,0,0,0,0,WD,Normal,202900
341,RH,60.0,8400,Pave,AllPub,SawyerW,1Fam,4,1950,Gable,CompShg,None,0.0,Fa,Fa,CBlock,TA,Fa,Unf,Unf,721,Gd,Y,SBrkr,841,841,0,0,1,0,2,1,TA,4,0,1,N,0,24,0,0,0,0,WD,Normal,82000
342,RL,-1.0,8544,Pave,AllPub,NAmes,Duplex,3,1949,Gable,CompShg,BrkFace,340.0,TA,TA,Slab,-1,-1,-1,-1,0,Fa,N,FuseA,1040,1040,0,0,2,0,2,2,TA,6,0,2,Y,0,0,0,0,0,0,WD,Normal,87500
343,RL,63.0,8849,Pave,AllPub,NridgHt,TwnhsE,9,2005,Hip,CompShg,BrkFace,616.0,Ex,TA,PConc,Ex,TA,GLQ,Unf,1684,Ex,Y,SBrkr,1684,1684,0,0,2,0,2,1,Ex,6,1,2,Y,72,0,0,0,0,0,WD,Normal,266000
344,RM,36.0,2592,Pave,AllPub,MeadowV,TwnhsE,5,1976,Gable,CompShg,None,0.0,TA,TA,CBlock,Gd,TA,Rec,BLQ,536,TA,Y,SBrkr,536,1112,0,0,1,1,3,1,TA,4,0,1,Y,0,0,0,0,0,0,WD,Normal,85000
345,RL,65.0,6435,Pave,AllPub,BrkSide,1Fam,6,1939,Gable,CompShg,None,0.0,TA,TA,BrkTil,TA,TA,Unf,Unf,972,Gd,Y,SBrkr,972,1577,0,0,1,0,3,1,Fa,6,1,1,Y,0,0,0,0,0,0,WD,Normal,140200
346,RL,-1.0,12772,Pave,AllPub,NAmes,1Fam,6,1960,Hip,CompShg,None,0.0,TA,Gd,CBlock,TA,TA,BLQ,Unf,958,TA,Y,SBrkr,958,958,0,0,1,0,2,1,TA,5,0,1,Y,0,0,0,0,0,15500,WD,Normal,151500
347,RL,-1.0,17600,Pave,AllPub,NAmes,1Fam,6,1960,Gable,CompShg,BrkFace,30.0,TA,TA,CBlock,TA,TA,BLQ,Unf,1478,Ex,Y,FuseA,1478,1478,1,0,2,0,3,1,TA,6,2,2,Y,40,0,0,0,0,0,WD,Normal,157500
348,RL,36.0,2448,Pave,AllPub,NridgHt,Twnhs,7,2003,Gable,CompShg,Stone,106.0,Gd,TA,PConc,Gd,TA,GLQ,Unf,764,Ex,Y,SBrkr,764,1626,1,0,2,1,2,1,Gd,6,0,2,Y,27,0,0,0,0,0,WD,Normal,154000
349,RL,56.0,20431,Pave,AllPub,NridgHt,1Fam,9,2005,Hip,CompShg,BrkFace,870.0,Ex,TA,PConc,Ex,TA,GLQ,Unf,1848,Ex,Y,SBrkr,1848,2728,1,0,2,1,4,1,Ex,10,2,3,Y,0,0,0,0,0,0,New,Partial,437154
350,RL,68.0,7820,Pave,AllPub,NridgHt,TwnhsE,9,2007,Hip,CompShg,BrkFace,362.0,Ex,TA,PConc,Ex,TA,Unf,Unf,1869,Ex,Y,SBrkr,1869,1869,0,0,2,0,2,1,Ex,6,1,2,Y,54,0,0,0,0,0,New,Partial,318061
351,RL,-1.0,5271,Pave,AllPub,ClearCr,1Fam,7,1986,Gable,CompShg,None,0.0,TA,TA,PConc,Gd,TA,GLQ,Unf,1453,Gd,Y,SBrkr,1453,1453,1,0,1,1,2,1,Gd,6,1,2,Y,80,0,0,184,0,0,WD,Abnorml,190000
352,RL,60.0,9084,Pave,AllPub,Edwards,1Fam,5,1941,Gable,CompShg,None,0.0,TA,TA,CBlock,TA,Fa,LwQ,Rec,616,TA,N,SBrkr,616,1111,0,1,1,0,3,1,TA,5,0,1,Y,0,0,0,0,0,0,ConLw,Normal,95000
353,RM,60.0,8520,Pave,AllPub,OldTown,1Fam,6,1928,Gable,CompShg,None,0.0,TA,Gd,BrkTil,TA,TA,Unf,Unf,624,Gd,Y,SBrkr,720,720,0,0,1,0,2,1,TA,5,0,2,Y,0,0,0,0,0,0,WD,Normal,105900
354,RL,60.0,8400,Pave,AllPub,SWISU,1Fam,6,1940,Gable,CompShg,None,0.0,TA,TA,CBlock,TA,TA,LwQ,Unf,940,Ex,Y,SBrkr,1192,1595,0,0,1,0,2,1,TA,6,2,1,Y,0,108,0,0,0,0,WD,Normal,140000
355,RL,105.0,11249,Pave,AllPub,CollgCr,1Fam,6,1995,Gable,CompShg,None,0.0,Gd,Gd,PConc,Gd,Gd,ALQ,BLQ,1200,Ex,Y,SBrkr,1200,1200,1,0,2,0,3,1,Gd,6,0,2,Y,26,0,0,0,0,0,WD,Normal,177500
356,RL,-1.0,9248,Pave,AllPub,Gilbert,1Fam,6,1992,Gable,CompShg,BrkFace,106.0,TA,TA,PConc,Gd,TA,GLQ,Unf,1158,Gd,Y,SBrkr,1167,1167,1,0,2,0,3,1,Gd,6,0,2,Y,26,0,0,0,0,0,WD,Normal,173000
357,RM,44.0,4224,Pave,AllPub,MeadowV,TwnhsE,5,1976,Gable,CompShg,None,0.0,TA,TA,PConc,Gd,TA,ALQ,Unf,1142,TA,Y,SBrkr,1142,1142,1,0,1,1,3,1,TA,6,1,2,Y,90,0,0,0,0,0,WD,Normal,134000
358,RL,92.0,6930,Pave,AllPub,ClearCr,1Fam,5,1958,Hip,CompShg,BrkFace,120.0,TA,TA,CBlock,TA,TA,BLQ,Rec,1062,Ex,Y,FuseF,1352,1352,0,1,1,0,3,1,Gd,6,0,1,Y,0,294,0,0,0,0,WD,Abnorml,130000
359,RL,78.0,12011,Pave,AllPub,NoRidge,1Fam,8,1998,Gable,CompShg,BrkFace,530.0,Gd,TA,PConc,Gd,TA,GLQ,Unf,1086,Ex,Y,SBrkr,1086,1924,1,0,2,1,3,1,Gd,7,1,2,Y,75,0,0,374,0,0,WD,Normal,280000
360,RL,-1.0,7540,Pave,AllPub,Mitchel,1Fam,6,1978,Gable,CompShg,None,0.0,TA,TA,CBlock,Gd,TA,GLQ,Unf,888,Ex,Y,SBrkr,912,912,1,0,1,0,2,1,TA,5,1,2,Y,0,0,0,192,0,0,WD,Normal,156000
361,RL,-1.0,9144,Pave,AllPub,BrkSide,1Fam,5,1940,Gable,CompShg,None,0.0,TA,TA,CBlock,TA,TA,Rec,Unf,883,Gd,Y,SBrkr,988,1505,1,0,1,0,3,1,TA,8,0,1,N,0,0,0,0,0,0,WD,Normal,145000
362,RL,64.0,7301,Pave,AllPub,Edwards,1Fam,7,2003,Gable,CompShg,BrkFace,500.0,Gd,TA,Slab,-1,-1,-1,-1,0,Ex,Y,SBrkr,495,1922,0,0,3,0,4,1,Gd,7,1,2,Y,0,177,0,0,0,0,ConLD,Normal,198500
363,RM,21.0,1680,Pave,AllPub,BrDale,Twnhs,6,1972,Gable,CompShg,BrkFace,510.0,TA,TA,CBlock,TA,TA,ALQ,Unf,483,Gd,Y,SBrkr,483,987,0,0,1,1,2,1,Gd,5,0,1,Y,0,0,0,0,0,0,WD,Normal,118000
364,RL,-1.0,18800,Pave,AllPub,NWAmes,1Fam,6,1976,Gable,CompShg,BrkFace,120.0,TA,TA,PConc,Gd,TA,GLQ,Unf,796,TA,Y,SBrkr,790,1574,1,0,2,1,3,1,TA,6,1,2,Y,111,0,0,0,0,0,WD,Normal,190000
365,RM,59.0,10690,Pave,AllPub,IDOTRR,1Fam,5,1920,Hip,CompShg,None,0.0,TA,Gd,CBlock,TA,Fa,Rec,Unf,672,Gd,Y,FuseA,672,1344,0,0,1,0,3,1,TA,6,0,1,Y,128,218,0,0,0,0,WD,Normal,147000
366,RL,-1.0,9500,Pave,AllPub,NAmes,1Fam,6,1963,Gable,CompShg,BrkFace,247.0,TA,TA,CBlock,Gd,TA,BLQ,Unf,1394,Gd,Y,SBrkr,1394,1394,1,0,1,1,3,1,TA,6,2,2,Y,76,0,0,185,0,0,WD,Normal,159000
367,RL,101.0,9150,Pave,AllPub,NAmes,1Fam,6,1962,Gable,Tar&Grv,BrkFace,305.0,TA,TA,CBlock,Gd,TA,GLQ,Unf,1099,Gd,Y,SBrkr,1431,1431,0,1,1,0,3,1,TA,6,1,1,Y,110,0,0,0,0,0,WD,Normal,165000
368,RL,78.0,7800,Pave,AllPub,NAmes,1Fam,5,1954,Gable,CompShg,BrkFace,200.0,TA,TA,PConc,TA,TA,LwQ,Unf,1268,Gd,Y,SBrkr,1268,1268,0,0,1,0,2,1,TA,7,1,1,Y,98,0,0,0,0,0,WD,Normal,132000
369,RL,-1.0,9830,Pave,AllPub,NAmes,1Fam,5,1959,Gable,CompShg,None,0.0,TA,Gd,CBlock,TA,TA,ALQ,Rec,1063,Ex,Y,SBrkr,1287,1287,1,0,1,0,3,1,Gd,7,1,2,Y,17,0,0,182,0,0,WD,Normal,162000
370,RL,-1.0,8121,Pave,AllPub,Gilbert,1Fam,6,2000,Gable,CompShg,None,0.0,TA,TA,PConc,Gd,TA,Unf,Unf,953,Ex,Y,SBrkr,953,1664,0,0,2,1,3,1,TA,7,1,2,Y,40,0,0,0,0,0,WD,Normal,172400
371,RL,80.0,17120,Pave,AllPub,ClearCr,1Fam,4,1959,Gable,CompShg,None,0.0,TA,TA,CBlock,-1,-1,-1,-1,0,TA,Y,SBrkr,1120,1588,0,0,2,0,4,1,TA,7,1,2,N,59,0,0,0,0,0,WD,Normal,134432
372,RL,50.0,7175,Pave,AllPub,SawyerW,TwnhsE,6,1984,Gable,CompShg,None,0.0,TA,TA,CBlock,Gd,TA,ALQ,LwQ,744,TA,Y,SBrkr,752,752,1,0,1,0,2,1,TA,4,0,1,Y,0,0,0,90,0,0,WD,Normal,125000
373,RL,79.0,10634,Pave,AllPub,NAmes,1Fam,5,1953,Gable,CompShg,None,0.0,TA,TA,PConc,TA,TA,BLQ,LwQ,608,TA,Y,SBrkr,1319,1319,1,0,1,0,3,1,TA,5,0,1,Y,0,0,0,0,0,0,WD,Normal,123000
374,RL,65.0,8200,Pave,AllPub,CollgCr,1Fam,7,2003,Gable,CompShg,None,0.0,Gd,TA,PConc,Gd,TA,Unf,Unf,847,Ex,Y,SBrkr,847,1928,0,0,2,1,4,1,Gd,8,1,2,Y,48,0,0,0,0,0,WD,Normal,219500
375,RL,-1.0,10020,Pave,AllPub,Edwards,1Fam,1,1922,Gable,CompShg,None,0.0,Fa,Fa,BrkTil,Fa,Po,BLQ,Unf,683,Gd,N,FuseA,904,904,1,0,0,1,1,1,Fa,4,0,0,Y,0,0,0,0,0,0,WD,Normal,61000
376,RL,57.0,8846,Pave,AllPub,CollgCr,1Fam,5,1996,Gable,CompShg,None,0.0,Gd,TA,PConc,Gd,TA,GLQ,Unf,870,Ex,Y,SBrkr,914,914,0,0,1,0,2,1,TA,5,0,2,Y,0,0,0,0,0,0,WD,Normal,148000
377,FV,102.0,11143,Pave,AllPub,Somerst,1Fam,8,2004,Gable,CompShg,None,0.0,Gd,TA,PConc,Gd,TA,Unf,Unf,1580,Ex,Y,SBrkr,1580,2466,0,0,3,0,4,1,Gd,8,1,2,Y,214,0,0,0,0,0,WD,Normal,340000
378,RL,88.0,11394,Pave,AllPub,StoneBr,1Fam,9,2010,Hip,CompShg,Stone,350.0,Gd,TA,PConc,Ex,TA,GLQ,Unf,1856,Ex,Y,SBrkr,1856,1856,1,0,1,1,1,1,Ex,8,1,3,Y,0,0,0,0,0,0,New,Partial,394432
